No.,Description,Product Group Code,Inventory Posting Group,Sales (Qty.),Sales (Qty.) - Year,Quantity on Hand,Unit Price
BH8-60EXA,8 inch aluminized bullhorn stack 60 inch long,CHROME,PIPE,375,47,333,303.63
BH8-60XBC,8 inch chrome bullhorn stack 60 inch long,MUFFLER,PIPE,580,64,95,416.43
BH8-60XBS,8 inch stainless bullhorn stack 60 inch long,MUFFLER,PIPE,227,66,13,381.71
BH8-72SBC,8 inch chrome bullhorn stack 72 inch long,MUFFLER,PIPE,375,8,220,214.21
BH8-72SBA,8 inch aluminized bullhorn stack 72 inch long,HARDWARE,PIPE,571,119,188,233.15
BH8-72SBS3,8 inch 304 stainless bullhorn stack 72 inch long,CLAMP,PIPE,0,62,205,211.05
BH8-72EXC,8 inch chrome bullhorn stack 72 inch long,PIPE,PIPE,175,13,302,90.26
BH8-72XBC,8 inch chrome bullhorn stack 72 inch long,CLAMP,PIPE,0,120,52,30.97
BH8-72XBA,8 inch aluminized bullhorn stack 72 inch long,PIPE,PIPE,0,79,159,396.4
BH8-72XBS3,8 inch 304 stainless bullhorn stack 72 inch long,CLAMP,PIPE,420,67,24,0.0
BH8-84SBC,8 inch chrome bullhorn stack 84 inch long,CLAMP,PIPE,495,37,56,239.4
BH8-84SBA,8 inch aluminized bullhorn stack 84 inch long,CHROME,PIPE,125,48,136,0.0
BH8-84SBS,8 inch stainless bullhorn stack 84 inch long,HARDWARE,PIPE,85,95,277,256.32
BH8-84EXA,8 inch aluminized bullhorn stack 84 inch long,PIPE,PIPE,0,3,212,207.55
BH8-84EXS,8 inch stainless bullhorn stack 84 inch long,PIPE,PIPE,116,69,67,0.0
BH8-84XBC,8 inch chrome bullhorn stack 84 inch long,PIPE,PIPE,56,62,234,363.85
BH8-84XBS3,8 inch 304 stainless bullhorn stack 84 inch long,HARDWARE,PIPE,589,103,26,0.0
BH8-96SBC,8 inch chrome bullhorn stack 96 inch long,PIPE,PIPE,0,113,191,156.41
BH8-96EXS,8 inch stainless bullhorn stack 96 inch long,HARDWARE,PIPE,0,62,330,264.66
BH8-96XBC,8 inch chrome bullhorn stack 96 inch long,MUFFLER,PIPE,536,0,213,284.18
BR3-12SBC,3 inch chrome brute stack 12 inch long,PIPE,PIPE,178,51,359,202.4
BR3-12SBS3,3 inch 304 stainless brute stack 12 inch long,CHROME,PIPE,590,76,172,22.8
BR3-12SBS,3 inch stainless brute stack 12 inch long,CLAMP,PIPE,0,93,1,401.74
BR3-12EXS,3 inch stainless brute stack 12 inch long,MUFFLER,PIPE,337,17,36,208.18
BR3-12XBA,3 inch aluminized brute stack 12 inch long,HARDWARE,PIPE,5,31,73,92.28
BR3-12XBS3,3 inch 304 stainless brute stack 12 inch long,ELBOW,PIPE,346,114,63,143.62
BR3-18SBA,3 inch aluminized brute stack 18 inch long,HARDWARE,PIPE,368,96,295,0.0
BR3-18SBS3,3 inch 304 stainless brute stack 18 inch long,MUFFLER,PIPE,0,45,280,100.65
BR3-18XBA,3 inch aluminized brute stack 18 inch long,PIPE,PIPE,0,2,293,86.98
BR3-24EXA,3 inch aluminized brute stack 24 inch long,HARDWARE,PIPE,448,43,81,362.88
BR3-24EXS3,3 inch 304 stainless brute stack 24 inch long,PROPRIETAR,OBSOLETE,0,18,134,0.0
BR3-24EXS,3 inch stainless brute stack 24 inch long,CHROME,PIPE,23,61,281,162.65
BR3-24XBC,3 inch chrome brute stack 24 inch long,CHROME,PIPE,40,50,15,309.86
BR3-24XBA,3 inch aluminized brute stack 24 inch long,MUFFLER,PIPE,293,6,377,108.97
BR3-24XBS,3 inch stainless brute stack 24 inch long,HARDWARE,PIPE,378,107,303,169.98
BR3-30SBC,3 inch chrome brute stack 30 inch long,MUFFLER,PIPE,409,49,19,70.41
BR3-30SBA,3 inch aluminized brute stack 30 inch long,CHROME,PIPE,494,79,92,189.57
BR3-30SBS3,3 inch 304 stainless brute stack 30 inch long,MUFFLER,PIPE,353,105,54,363.66
BR3-30EXA,3 inch aluminized brute stack 30 inch long,ELBOW,PIPE,0,103,288,230.94
BR3-30EXS3,3 inch 304 stainless brute stack 30 inch long,ELBOW,PIPE,113,4,231,56.67
BR3-30XBA,3 inch aluminized brute stack 30 inch long,PIPE,PIPE,200,19,258,40.95
BR3-36SBC,3 inch chrome brute stack 36 inch long,HARDWARE,PIPE,0,27,375,118.9
BR3-36EXC,3 inch chrome brute stack 36 inch long,MUFFLER,PIPE,581,60,21,308.58
BR3-36EXA,3 inch aluminized brute stack 36 inch long,HARDWARE,PIPE,225,7,334,49.84
BR3-36XBC,3 inch chrome brute stack 36 inch long,PIPE,PIPE,102,99,394,338.45
BR3-36XBA,3 inch aluminized brute stack 36 inch long,PROPRIETAR,OBSOLETE,494,73,246,15.45
BR3-36XBS,3 inch stainless brute stack 36 inch long,PIPE,PIPE,323,75,211,364.76
BR3-42SBS3,3 inch 304 stainless brute stack 42 inch long,CHROME,PIPE,274,71,167,470.1
BR3-42EXA,3 inch aluminized brute stack 42 inch long,PROPRIETAR,PIPE,115,35,107,151.64
BR3-42EXS3,3 inch 304 stainless brute stack 42 inch long,PIPE,PIPE,281,112,57,405.95
BR3-42EXS,3 inch stainless brute stack 42 inch long,ELBOW,PIPE,325,70,112,178.96
BR3-42XBS3,3 inch 304 stainless brute stack 42 inch long,CLAMP,PIPE,96,106,178,63.65
BR3-42XBS,3 inch stainless brute stack 42 inch long,HARDWARE,PIPE,586,43,312,204.14
BR3-48SBC,3 inch chrome brute stack 48 inch long,ELBOW,PIPE,194,34,274,371.21
BR3-48EXC,3 inch chrome brute stack 48 inch long,CHROME,OBSOLETE,0,57,369,389.42
BR3-48EXS,3 inch stainless brute stack 48 inch long,HARDWARE,PIPE,352,79,73,459.89
BR3-48XBA,3 inch aluminized brute stack 48 inch long,MUFFLER,PIPE,393,30,269,371.03
BR3-48XBS,3 inch stainless brute stack 48 inch long,ELBOW,PIPE,60,5,185,440.53
BR3-54EXC,3 inch chrome brute stack 54 inch long,CLAMP,PIPE,467,13,343,192.51
BR3-54EXA,3 inch aluminized brute stack 54 inch long,ELBOW,PIPE,0,21,395,414.1
BR3-54EXS,3 inch stainless brute stack 54 inch long,PROPRIETAR,OBSOLETE,272,43,289,242.78
BR3-54XBA,3 inch aluminized brute stack 54 inch long,HARDWARE,PIPE,449,17,118,258.31
BR3-54XBS3,3 inch 304 stainless brute stack 54 inch long,ELBOW,PIPE,250,9,10,338.71
BR3-54XBS,3 inch stainless brute stack 54 inch long,MUFFLER,PIPE,0,83,65,80.19
BR3-60SBS,3 inch stainless brute stack 60 inch long,CHROME,PIPE,34,111,312,411.83
BR3-60EXC,3 inch chrome brute stack 60 inch long,MUFFLER,PIPE,435,15,89,0.0
BR3-60EXS,3 inch stainless brute stack 60 inch long,CLAMP,PIPE,0,108,211,85.62
BR3-60XBC,3 inch chrome brute stack 60 inch long,PIPE,PIPE,429,51,272,152.4
BR3-72SBS3,3 inch 304 stainless brute stack 72 inch long,CHROME,PIPE,5,118,374,98.1
BR3-72XBC,3 inch chrome brute stack 72 inch long,HARDWARE,PIPE,0,84,314,256.51
BR3-72XBS3,3 inch 304 stainless brute stack 72 inch long,CHROME,PIPE,524,18,85,412.26
BR3-84SBC,3 inch chrome brute stack 84 inch long,MUFFLER,PIPE,224,15,2,285.45
BR3-84SBA,3 inch aluminized brute stack 84 inch long,PROPRIETAR,PIPE,510,113,156,461.92
BR3-84EXS,3 inch stainless brute stack 84 inch long,HARDWARE,PIPE,0,110,302,69.37
BR3-84XBA,3 inch aluminized brute stack 84 inch long,HARDWARE,PIPE,57,116,84,247.8
BR3-96EXC,3 inch chrome brute stack 96 inch long,MUFFLER,PIPE,23,56,173,304.46
BR3-96XBC,3 inch chrome brute stack 96 inch long,ELBOW,PIPE,459,84,272,477.98
BR3-96XBS,3 inch stainless brute stack 96 inch long,CLAMP,PIPE,59,21,94,321.85
BR3.5-12SBS3,3.5 inch 304 stainless brute stack 12 inch long,PROPRIETAR,PIPE,225,104,281,126.39
BR3.5-12SBS,3.5 inch stainless brute stack 12 inch long,CLAMP,PIPE,525,82,113,117.72
BR3.5-12EXC,3.5 inch chrome brute stack 12 inch long,MUFFLER,PIPE,357,107,366,260.23
BR3.5-12EXS,3.5 inch stainless brute stack 12 inch long,HARDWARE,PIPE,356,71,106,0.0
BR3.5-12XBA,3.5 inch aluminized brute stack 12 inch long,ELBOW,PIPE,97,89,352,239.79
BR3.5-12XBS3,3.5 inch 304 stainless brute stack 12 inch long,CLAMP,PIPE,129,92,10,473.06
BR3.5-12XBS,3.5 inch stainless brute stack 12 inch long,CLAMP,PIPE,300,120,27,142.39
BR3.5-18SBS3,3.5 inch 304 stainless brute stack 18 inch long,CHROME,PIPE,465,102,304,466.2
BR3.5-18EXA,3.5 inch aluminized brute stack 18 inch long,PIPE,PIPE,0,103,18,157.47
BR3.5-18EXS3,3.5 inch 304 stainless brute stack 18 inch long,MUFFLER,PIPE,533,113,236,15.53
BR3.5-18XBS3,3.5 inch 304 stainless brute stack 18 inch long,ELBOW,PIPE,543,45,159,202.06
BR3.5-24SBS3,3.5 inch 304 stainless brute stack 24 inch long,HARDWARE,PIPE,201,15,269,44.64
BR3.5-24XBC,3.5 inch chrome brute stack 24 inch long,HARDWARE,PIPE,458,47,17,337.18
BR3.5-24XBA,3.5 inch aluminized brute stack 24 inch long,PIPE,PIPE,299,102,122,287.34
BR3.5-24XBS3,3.5 inch 304 stainless brute stack 24 inch long,CHROME,PIPE,0,22,302,329.64
BR3.5-30SBS,3.5 inch stainless brute stack 30 inch long,HARDWARE,PIPE,454,67,331,24.36
BR3.5-36SBS,3.5 inch stainless brute stack 36 inch long,CLAMP,PIPE,546,111,202,320.72
BR3.5-36EXA,3.5 inch aluminized brute stack 36 inch long,PIPE,PIPE,153,79,280,267.88
BR3.5-36EXS3,3.5 inch 304 stainless brute stack 36 inch long,MUFFLER,PIPE,484,45,105,477.86
BR3.5-36EXS,3.5 inch stainless brute stack 36 inch long,ELBOW,PIPE,410,11,105,184.25
BR3.5-36XBS3,3.5 inch 304 stainless brute stack 36 inch long,HARDWARE,PIPE,303,91,275,113.22
BR3.5-42SBC,3.5 inch chrome brute stack 42 inch long,ELBOW,PIPE,204,26,168,141.81
BR3.5-42SBS,3.5 inch stainless brute stack 42 inch long,PIPE,PIPE,349,62,215,31.23
BR3.5-42EXS3,3.5 inch 304 stainless brute stack 42 inch long,ELBOW,PIPE,391,46,242,41.28
BR3.5-42XBC,3.5 inch chrome brute stack 42 inch long,CHROME,PIPE,321,56,158,337.94
BR3.5-42XBS,3.5 inch stainless brute stack 42 inch long,MUFFLER,PIPE,102,21,292,159.59
BR3.5-48EXA,3.5 inch aluminized brute stack 48 inch long,HARDWARE,PIPE,0,72,201,200.74
BR3.5-48EXS3,3.5 inch 304 stainless brute stack 48 inch long,CLAMP,PIPE,65,111,328,230.48
BR3.5-48XBS3,3.5 inch 304 stainless brute stack 48 inch long,ELBOW,PIPE,384,41,277,278.17
BR3.5-54SBC,3.5 inch chrome brute stack 54 inch long,MUFFLER,PIPE,160,11,60,360.11
BR3.5-54SBA,3.5 inch aluminized brute stack 54 inch long,CLAMP,PIPE,80,104,57,95.6
BR3.5-54SBS,3.5 inch stainless brute stack 54 inch long,HARDWARE,PIPE,478,0,136,429.74
BR3.5-54EXC,3.5 inch chrome brute stack 54 inch long,MUFFLER,PIPE,454,90,90,0.0
BR3.5-54EXA,3.5 inch aluminized brute stack 54 inch long,PROPRIETAR,PIPE,0,82,395,191.95
BR3.5-54EXS3,3.5 inch 304 stainless brute stack 54 inch long,MUFFLER,PIPE,265,66,375,82.86
BR3.5-54XBS3,3.5 inch 304 stainless brute stack 54 inch long,PIPE,PIPE,296,112,93,182.87
BR3.5-60SBC,3.5 inch chrome brute stack 60 inch long,ELBOW,PIPE,463,81,245,293.13
BR3.5-60EXS,3.5 inch stainless brute stack 60 inch long,HARDWARE,PIPE,564,9,39,0.0
BR3.5-60XBC,3.5 inch chrome brute stack 60 inch long,CLAMP,PIPE,6,100,60,189.14
BR3.5-60XBA,3.5 inch aluminized brute stack 60 inch long,CLAMP,PIPE,0,105,204,318.01
BR3.5-60XBS,3.5 inch stainless brute stack 60 inch long,MUFFLER,PIPE,308,24,351,68.73
BR3.5-72SBA,3.5 inch aluminized brute stack 72 inch long,HARDWARE,PIPE,0,87,158,221.44
BR3.5-72SBS3,3.5 inch 304 stainless brute stack 72 inch long,HARDWARE,PIPE,17,11,267,29.58
BR3.5-72SBS,3.5 inch stainless brute stack 72 inch long,PIPE,PIPE,513,49,61,398.27
BR3.5-72EXC,3.5 inch chrome brute stack 72 inch long,CHROME,PIPE,258,83,352,348.48
BR3.5-72EXS3,3.5 inch 304 stainless brute stack 72 inch long,MUFFLER,PIPE,567,29,22,412.68
BR3.5-84SBA,3.5 inch aluminized brute stack 84 inch long,CHROME,PIPE,0,76,239,450.68
BR3.5-84EXS,3.5 inch stainless brute stack 84 inch long,CHROME,OBSOLETE,13,24,235,286.51
BR3.5-84XBC,3.5 inch chrome brute stack 84 inch long,MUFFLER,PIPE,254,21,370,464.45
BR3.5-84XBS,3.5 inch stainless brute stack 84 inch long,PIPE,PIPE,388,100,242,394.25
BR3.5-96SBA,3.5 inch aluminized brute stack 96 inch long,CHROME,PIPE,188,47,327,142.08
BR3.5-96SBS3,3.5 inch 304 stainless brute stack 96 inch long,CLAMP,PIPE,44,84,255,461.06
BR3.5-96SBS,3.5 inch stainless brute stack 96 inch long,ELBOW,PIPE,63,35,245,368.49
BR3.5-96EXS3,3.5 inch 304 stainless brute stack 96 inch long,MUFFLER,PIPE,0,118,333,404.68
BR3.5-96XBA,3.5 inch aluminized brute stack 96 inch long,CLAMP,PIPE,313,22,163,422.0
BR3.5-96XBS,3.5 inch stainless brute stack 96 inch long,BATTERY,BATTERY,146,14,343,0.0
BR4-12SBC,4 inch chrome brute stack 12 inch long,CHROME,PIPE,13,70,215,247.59
BR4-12SBS3,4 inch 304 stainless brute stack 12 inch long,HARDWARE,PIPE,341,65,162,0.0
BR4-12EXA,4 inch aluminized brute stack 12 inch long,ELBOW,PIPE,534,78,280,249.19
BR4-12EXS3,4 inch 304 stainless brute stack 12 inch long,MUFFLER,PIPE,46,80,395,47.23
BR4-12EXS,4 inch stainless brute stack 12 inch long,MUFFLER,PIPE,267,25,316,335.99
BR4-18SBS3,4 inch 304 stainless brute stack 18 inch long,PIPE,PIPE,110,85,259,466.29
BR4-18XBC,4 inch chrome brute stack 18 inch long,PIPE,PIPE,334,117,340,169.62
BR4-24SBS3,4 inch 304 stainless brute stack 24 inch long,ELBOW,PIPE,135,6,70,0.0
BR4-24EXA,4 inch aluminized brute stack 24 inch long,CHROME,PIPE,517,37,213,167.46
BR4-24XBS,4 inch stainless brute stack 24 inch long,ELBOW,PIPE,430,109,340,44.01
BR4-30SBC,4 inch chrome brute stack 30 inch long,HARDWARE,PIPE,386,73,164,265.01
BR4-30SBA,4 inch aluminized brute stack 30 inch long,PIPE,PIPE,0,27,385,463.13
BR4-30SBS3,4 inch 304 stainless brute stack 30 inch long,CLAMP,PIPE,532,20,114,128.35
BR4-30SBS,4 inch stainless brute stack 30 inch long,ELBOW,PIPE,0,45,77,178.25
BR4-30XBA,4 inch aluminized brute stack 30 inch long,CLAMP,PIPE,205,73,66,191.74
BR4-30XBS3,4 inch 304 stainless brute stack 30 inch long,CLAMP,PIPE,37,68,65,88.07
BR4-36SBS3,4 inch 304 stainless brute stack 36 inch long,ELBOW,PIPE,399,2,125,290.51
BR4-36EXS,4 inch stainless brute stack 36 inch long,HARDWARE,PIPE,0,53,59,241.6
BR4-36XBC,4 inch chrome brute stack 36 inch long,CLAMP,PIPE,25,89,210,242.73
BR4-36XBS,4 inch stainless brute stack 36 inch long,CLAMP,PIPE,0,80,383,300.82
BR4-42EXS,4 inch stainless brute stack 42 inch long,CHROME,PIPE,526,59,393,160.35
BR4-42XBS3,4 inch 304 stainless brute stack 42 inch long,CLAMP,PIPE,552,103,160,207.0
BR4-48SBC,4 inch chrome brute stack 48 inch long,CLAMP,PIPE,438,67,258,399.32
BR4-48SBA,4 inch aluminized brute stack 48 inch long,PIPE,PIPE,226,68,63,295.33
BR4-48SBS3,4 inch 304 stainless brute stack 48 inch long,HARDWARE,PIPE,575,69,49,306.29
BR4-48EXS,4 inch stainless brute stack 48 inch long,MUFFLER,PIPE,0,65,233,80.68
BR4-48XBC,4 inch chrome brute stack 48 inch long,CHROME,PIPE,0,45,188,0.0
BR4-48XBA,4 inch aluminized brute stack 48 inch long,PIPE,PIPE,281,4,127,61.67
BR4-48XBS3,4 inch 304 stainless brute stack 48 inch long,CLAMP,PIPE,309,118,178,303.77
BR4-48XBS,4 inch stainless brute stack 48 inch long,PIPE,PIPE,0,92,248,109.23
BR4-54SBC,4 inch chrome brute stack 54 inch long,CLAMP,PIPE,0,16,214,424.92
BR4-54EXA,4 inch aluminized brute stack 54 inch long,CLAMP,PIPE,245,40,345,355.07
BR4-54XBA,4 inch aluminized brute stack 54 inch long,CHROME,PIPE,114,99,151,0.0
BR4-54XBS,4 inch stainless brute stack 54 inch long,PROPRIETAR,PIPE,523,62,19,64.33
BR4-60SBS,4 inch stainless brute stack 60 inch long,CHROME,PIPE,433,45,162,29.31
BR4-60EXA,4 inch aluminized brute stack 60 inch long,CHROME,PIPE,231,113,271,153.94
BR4-60EXS3,4 inch 304 stainless brute stack 60 inch long,CHROME,PIPE,432,101,80,387.79
BR4-60XBA,4 inch aluminized brute stack 60 inch long,HARDWARE,PIPE,310,55,181,459.62
BR4-60XBS3,4 inch 304 stainless brute stack 60 inch long,MUFFLER,PIPE,534,107,192,221.36
BR4-72SBC,4 inch chrome brute stack 72 inch long,CHROME,PIPE,0,75,158,125.7
BR4-72SBA,4 inch aluminized brute stack 72 inch long,HARDWARE,PIPE,503,84,220,67.92
BR4-72SBS,4 inch stainless brute stack 72 inch long,CLAMP,PIPE,0,90,158,468.35
BR4-72EXA,4 inch aluminized brute stack 72 inch long,CLAMP,PIPE,402,120,110,451.86
BR4-72EXS,4 inch stainless brute stack 72 inch long,BATTERY,BATTERY,157,87,168,50.13
BR4-72XBC,4 inch chrome brute stack 72 inch long,MUFFLER,PIPE,11,109,246,280.45
BR4-72XBA,4 inch aluminized brute stack 72 inch long,PIPE,PIPE,0,29,177,15.48
BR4-72XBS3,4 inch 304 stainless brute stack 72 inch long,CHROME,PIPE,230,88,314,65.1
BR4-72XBS,4 inch stainless brute stack 72 inch long,CLAMP,PIPE,0,23,295,241.27
BR4-84EXA,4 inch aluminized brute stack 84 inch long,CLAMP,PIPE,293,76,191,76.59
BR4-84EXS3,4 inch 304 stainless brute stack 84 inch long,HARDWARE,PIPE,0,0,89,327.02
BR4-84XBA,4 inch aluminized brute stack 84 inch long,CLAMP,PIPE,513,81,248,438.4
BR4-84XBS3,4 inch 304 stainless brute stack 84 inch long,PIPE,PIPE,533,90,293,211.22
BR4-96SBC,4 inch chrome brute stack 96 inch long,PIPE,PIPE,411,67,133,309.44
BR4-96SBA,4 inch aluminized brute stack 96 inch long,ELBOW,PIPE,90,4,20,279.14
BR4-96EXC,4 inch chrome brute stack 96 inch long,MUFFLER,PIPE,495,76,282,379.56
BR4-96EXS,4 inch stainless brute stack 96 inch long,MUFFLER,PIPE,541,0,193,221.22
BR4-96XBC,4 inch chrome brute stack 96 inch long,MUFFLER,PIPE,0,92,51,140.44
BR4-96XBS,4 inch stainless brute stack 96 inch long,CHROME,OBSOLETE,410,92,366,476.26
BR5-12SBC,5 inch chrome brute stack 12 inch long,HARDWARE,PIPE,0,82,227,0.0
BR5-12SBA,5 inch aluminized brute stack 12 inch long,MUFFLER,PIPE,563,3,252,129.02
BR5-12EXC,5 inch chrome brute stack 12 inch long,ELBOW,PIPE,0,85,37,0.0
BR5-12XBS3,5 inch 304 stainless brute stack 12 inch long,HARDWARE,PIPE,205,56,165,22.49
BR5-18SBA,5 inch aluminized brute stack 18 inch long,PIPE,PIPE,407,30,137,244.42
BR5-18EXA,5 inch aluminized brute stack 18 inch long,CHROME,PIPE,140,120,261,215.34
BR5-18XBA,5 inch aluminized brute stack 18 inch long,CHROME,PIPE,487,65,48,176.18
BR5-24SBA,5 inch aluminized brute stack 24 inch long,MUFFLER,PIPE,223,71,193,133.9
BR5-24SBS3,5 inch 304 stainless brute stack 24 inch long,PIPE,PIPE,464,25,92,281.03
BR5-24EXA,5 inch aluminized brute stack 24 inch long,HARDWARE,PIPE,239,19,171,0.0
BR5-24EXS3,5 inch 304 stainless brute stack 24 inch long,ELBOW,PIPE,510,37,102,221.5
BR5-24XBS3,5 inch 304 stainless brute stack 24 inch long,MUFFLER,PIPE,373,37,346,0.0
BR5-30SBC,5 inch chrome brute stack 30 inch long,HARDWARE,PIPE,28,77,259,37.0
BR5-30SBA,5 inch aluminized brute stack 30 inch long,PROPRIETAR,PIPE,0,35,21,37.17
BR5-30SBS3,5 inch 304 stainless brute stack 30 inch long,MUFFLER,PIPE,0,102,54,102.64
BR5-30EXA,5 inch aluminized brute stack 30 inch long,PIPE,PIPE,120,89,175,80.34
BR5-30XBC,5 inch chrome brute stack 30 inch long,HARDWARE,PIPE,467,102,95,382.38
BR5-30XBS,5 inch stainless brute stack 30 inch long,PIPE,PIPE,0,13,43,127.25
BR5-36SBS,5 inch stainless brute stack 36 inch long,CLAMP,PIPE,204,54,122,384.53
BR5-36EXC,5 inch chrome brute stack 36 inch long,CLAMP,PIPE,0,36,331,37.52
BR5-36XBC,5 inch chrome brute stack 36 inch long,HARDWARE,PIPE,399,108,44,172.23
BR5-36XBA,5 inch aluminized brute stack 36 inch long,PROPRIETAR,OBSOLETE,542,31,213,112.3
BR5-42SBC,5 inch chrome brute stack 42 inch long,CHROME,PIPE,367,49,230,365.76
BR5-42SBS,5 inch stainless brute stack 42 inch long,PIPE,PIPE,0,108,371,387.27
BR5-42EXS,5 inch stainless brute stack 42 inch long,ELBOW,PIPE,372,70,193,209.69
BR5-42XBA,5 inch aluminized brute stack 42 inch long,CLAMP,PIPE,45,58,222,0.0
BR5-42XBS,5 inch stainless brute stack 42 inch long,CLAMP,PIPE,381,97,71,254.42
BR5-48SBA,5 inch aluminized brute stack 48 inch long,CHROME,PIPE,0,113,29,52.37
BR5-48SBS3,5 inch 304 stainless brute stack 48 inch long,PROPRIETAR,PIPE,445,66,323,320.25
BR5-48SBS,5 inch stainless brute stack 48 inch long,CHROME,PIPE,86,81,200,185.11
BR5-48EXA,5 inch aluminized brute stack 48 inch long,CHROME,PIPE,195,65,328,287.79
BR5-48EXS3,5 inch 304 stainless brute stack 48 inch long,HARDWARE,PIPE,167,1,131,49.24
BR5-48EXS,5 inch stainless brute stack 48 inch long,PIPE,PIPE,25,23,392,101.37
BR5-48XBC,5 inch chrome brute stack 48 inch long,CLAMP,PIPE,0,116,317,87.5
BR5-48XBA,5 inch aluminized brute stack 48 inch long,CLAMP,PIPE,375,89,394,44.03
BR5-54SBA,5 inch aluminized brute stack 54 inch long,CHROME,PIPE,156,10,75,281.41
BR5-54SBS3,5 inch 304 stainless brute stack 54 inch long,CLAMP,PIPE,242,65,166,189.68
BR5-54EXC,5 inch chrome brute stack 54 inch long,PIPE,PIPE,0,32,293,333.45
BR5-54EXA,5 inch aluminized brute stack 54 inch long,HARDWARE,PIPE,541,56,337,223.78
BR5-54XBA,5 inch aluminized brute stack 54 inch long,MUFFLER,PIPE,0,35,173,157.78
BR5-54XBS,5 inch stainless brute stack 54 inch long,HARDWARE,PIPE,183,107,247,0.0
BR5-60SBA,5 inch aluminized brute stack 60 inch long,HARDWARE,PIPE,487,1,286,243.43
BR5-60SBS,5 inch stainless brute stack 60 inch long,ELBOW,PIPE,83,120,9,262.52
BR5-60EXA,5 inch aluminized brute stack 60 inch long,CLAMP,PIPE,0,12,336,195.61
BR5-60EXS3,5 inch 304 stainless brute stack 60 inch long,CHROME,PIPE,160,99,183,0.0
BR5-60XBC,5 inch chrome brute stack 60 inch long,PIPE,PIPE,432,116,302,0.0
BR5-72SBA,5 inch aluminized brute stack 72 inch long,ELBOW,PIPE,410,68,226,60.48
BR5-72SBS3,5 inch 304 stainless brute stack 72 inch long,PIPE,PIPE,379,77,199,433.43
BR5-72EXS3,5 inch 304 stainless brute stack 72 inch long,HARDWARE,PIPE,0,37,282,449.19
BR5-72XBC,5 inch chrome brute stack 72 inch long,CHROME,OBSOLETE,269,20,357,384.78
BR5-72XBA,5 inch aluminized brute stack 72 inch long,BATTERY,BATTERY,276,92,373,95.49
BR5-72XBS3,5 inch 304 stainless brute stack 72 inch long,ELBOW,PIPE,215,22,18,244.15
BR5-84EXC,5 inch chrome brute stack 84 inch long,ELBOW,PIPE,0,50,237,0.0
BR5-84EXS3,5 inch 304 stainless brute stack 84 inch long,PROPRIETAR,PIPE,472,9,102,53.15
BR5-96EXC,5 inch chrome brute stack 96 inch long,MUFFLER,PIPE,370,28,130,105.75
BR5-96EXS3,5 inch 304 stainless brute stack 96 inch long,HARDWARE,PIPE,285,8,336,407.34
BR5-96EXS,5 inch stainless brute stack 96 inch long,CHROME,PIPE,567,0,76,317.32
BR5-96XBC,5 inch chrome brute stack 96 inch long,PIPE,PIPE,463,76,89,429.0
BR5-96XBA,5 inch aluminized brute stack 96 inch long,PROPRIETAR,PIPE,0,9,179,126.26
BR6-12SBS,6 inch stainless brute stack 12 inch long,PROPRIETAR,PIPE,396,62,70,41.14
BR6-12EXC,6 inch chrome brute stack 12 inch long,ELBOW,PIPE,141,96,277,0.0
BR6-12EXA,6 inch aluminized brute stack 12 inch long,CHROME,PIPE,13,29,125,0.0
BR6-12XBC,6 inch chrome brute stack 12 inch long,HARDWARE,PIPE,355,50,385,69.16
BR6-12XBA,6 inch aluminized brute stack 12 inch long,HARDWARE,PIPE,411,84,78,326.43
BR6-18SBC,6 inch chrome brute stack 18 inch long,CHROME,PIPE,0,21,100,274.63
BR6-18SBS3,6 inch 304 stainless brute stack 18 inch long,HARDWARE,PIPE,404,81,263,360.87
BR6-18EXC,6 inch chrome brute stack 18 inch long,HARDWARE,PIPE,371,85,400,305.49
BR6-24SBC,6 inch chrome brute stack 24 inch long,PIPE,PIPE,278,21,169,144.11
BR6-24SBS3,6 inch 304 stainless brute stack 24 inch long,CLAMP,PIPE,331,35,165,62.07
BR6-24SBS,6 inch stainless brute stack 24 inch long,HARDWARE,PIPE,364,104,258,306.48
BR6-24XBS,6 inch stainless brute stack 24 inch long,PROPRIETAR,OBSOLETE,297,42,133,435.91
BR6-30SBC,6 inch chrome brute stack 30 inch long,HARDWARE,PIPE,585,29,396,88.19
BR6-30SBS,6 inch stainless brute stack 30 inch long,PIPE,PIPE,279,99,187,111.69
BR6-30EXC,6 inch chrome brute stack 30 inch long,PIPE,PIPE,481,12,157,124.06
BR6-30XBC,6 inch chrome brute stack 30 inch long,CLAMP,PIPE,152,111,326,0.0
BR6-30XBS3,6 inch 304 stainless brute stack 30 inch long,CHROME,PIPE,422,35,379,103.86
BR6-36SBC,6 inch chrome brute stack 36 inch long,MUFFLER,PIPE,0,41,52,363.12
BR6-36SBA,6 inch aluminized brute stack 36 inch long,MUFFLER,PIPE,477,49,9,314.41
BR6-36SBS3,6 inch 304 stainless brute stack 36 inch long,PIPE,PIPE,386,97,183,276.96
BR6-36XBS3,6 inch 304 stainless brute stack 36 inch long,ELBOW,PIPE,587,14,9,308.95
BR6-42SBA,6 inch aluminized brute stack 42 inch long,BATTERY,BATTERY,0,115,11,427.52
BR6-42SBS,6 inch stainless brute stack 42 inch long,ELBOW,PIPE,0,103,339,0.0
BR6-42EXC,6 inch chrome brute stack 42 inch long,PROPRIETAR,OBSOLETE,333,17,393,342.43
